City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Narsaq,GL,43.02,60.9167,-46.05,Sleep In Narsaq
3,Batagay,RU,32.67,67.6333,134.6333,Gostinitsa Ki'ileekh
6,Bethel,US,59.85,41.3712,-73.414,Courtyard by Marriott Danbury
11,Senno,RU,52.27,59.5336,33.9167,
15,Pangnirtung,CA,34.75,66.1451,-65.7125,Kilabuk Lodge
16,Hermanus,ZA,57.79,-34.4187,19.2345,Misty Waves Boutique Hotel
18,Mataura,NZ,44.38,-46.1927,168.8643,Ellie's Villa
20,Punta Arenas,CL,41.11,-53.15,-70.9167,Hotel Hain
22,Airai,TL,58.14,-8.9266,125.4092,
24,Ushuaia,AR,44.26,-54.8,-68.3,Albatross Hotel
25,Sitka,US,46.29,57.0531,-135.33,Westmark Sitka
29,Price,US,47.12,39.5994,-110.8107,National 9 - Price River Inn
31,Vanavara,RU,52.52,60.34,102.2797,
32,Yerbogachen,RU,48.63,61.2767,108.0108,
34,Meridian,US,45.09,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
40,Port Alfred,ZA,58.17,-33.5906,26.891,The Halyards Hotel
42,Busselton,AU,57.43,-33.65,115.3333,Observatory Guest House
45,Yellowknife,CA,45.12,62.456,-114.3525,The Explorer Hotel
47,Burnie,AU,45.95,-41.0667,145.9167,Beachfront Voyager Motor Inn
49,Ilulissat,GL,35.62,69.2167,-51.1,Hotel Arctic
50,Torbay,CA,56.88,47.6666,-52.7314,Gallows Cove
53,Rio Gallegos,AR,42.85,-51.6226,-69.2181,Hotel Santa Cruz
54,Coihaique,CL,38.01,-45.5752,-72.0662,Diego De Almagro Coyhaique
55,Yar-Sale,RU,34.38,66.8333,70.8333,Yalemd
62,Aklavik,CA,37.4,68.2191,-135.0107,Aklavik Inn
63,Naryan-Mar,RU,32.04,67.6713,53.087,Hostel Agat
64,Nanortalik,GL,39.0,60.1432,-45.2371,Hotel Kap Farvel
67,Geraldton,AU,57.61,-28.7667,114.6,Broadwater Mariner Resort
68,Hobart,AU,46.06,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
71,Te Anau,NZ,41.7,-45.4167,167.7167,Kingsgate Hotel Te Anau
75,Grindavik,IS,55.87,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
76,Hvolsvollur,IS,50.67,63.7533,-20.2243,Hotel Rangá
79,Kodiak,US,38.71,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
81,Norman Wells,CA,42.84,65.282,-126.8329,Heritage Hotel
87,Yulara,AU,58.82,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
89,Longyearbyen,SJ,31.84,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
90,Karpogory,RU,40.3,64.0019,44.4451,Hotel Pinezhskaya Sloboda
91,Lebu,CL,53.56,-37.6167,-73.65,Hostal Las Lilas
94,La Ronge,CA,35.85,55.1001,-105.2842,Northland Motor Hotel
95,Barrow,US,30.22,71.2906,-156.7887,King Eider Inn
100,Dikson,RU,30.74,73.5069,80.5464,
105,New Norfolk,AU,45.72,-42.7826,147.0587,The Shingles Riverside Cottages
109,Falmouth,GB,59.9,50.1544,-5.0711,The Falmouth Hotel
112,Tiksi,RU,30.34,71.6872,128.8694,Arktika
113,Bredasdorp,ZA,59.14,-34.5322,20.0403,Bredasdorp Country Manor
116,Havre-Saint-Pierre,CA,52.16,50.2334,-63.5986,Auberge Niapiskau
118,East London,ZA,58.14,-33.0153,27.9116,Tu Casa
119,San Quintin,MX,59.83,30.4833,-115.95,Don Eddie's Sport Fishing Center
122,Brae,GB,55.22,60.3964,-1.353,Busta House Hotel
125,Thompson,CA,32.16,55.7435,-97.8558,Burntwood Hotel
128,Husavik,IS,54.03,66.0449,-17.3389,Bjarnabúð
131,Provideniya,RU,38.23,64.3833,-173.3,
132,Lompoc,US,57.92,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
136,Fortuna,US,47.98,40.5982,-124.1573,Super 8 by Wyndham Fortuna
140,Zlatoust,RU,44.65,55.1711,59.6508,Bellmont
141,Kaitangata,NZ,44.33,-46.2817,169.8464,Kaitangata Motor Camp
143,Berlevag,NO,39.15,70.8578,29.0864,Kvitbrakka
147,Suoyarvi,RU,51.93,62.0833,32.35,Mini-Hotel Comfort
148,Srednekolymsk,RU,48.9,67.45,153.6833,
150,Hofn,IS,50.02,64.2539,-15.2082,Hótel Höfn
153,Tuatapere,NZ,48.18,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
154,Petropavlovsk-Kamchatskiy,RU,37.99,53.0452,158.6483,The Hotel Petropavlovsky
155,Honningsvag,NO,42.55,70.9821,25.9704,Nordkapp Vandrerhjem
157,Ancud,CL,52.2,-41.8697,-73.8203,Hotel Arena Gruesa
161,Taree,AU,57.11,-31.9,152.4667,All Seasons Country Lodge Taree
162,Pevek,RU,33.53,69.7008,170.3133,Severnoye Zoloto
163,Stepnyak,KZ,57.29,52.8339,70.7803,
164,Saskatoon,CA,38.16,52.1168,-106.6345,Sheraton Cavalier Saskatoon Hotel
165,Codrington,AU,44.17,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
166,Delta Del Tigre,UY,55.81,-34.7633,-56.3853,FINCA SUAREZ
168,Tukan,RU,45.77,53.8409,57.4552,
169,Chuy,UY,57.83,-33.6971,-53.4616,Nuevo Hotel Plaza
170,Port Elizabeth,ZA,58.1,-33.918,25.5701,39 On Nile Guest House
171,Golyshmanovo,RU,49.06,56.3979,68.3728,Mini gostinitsa Paradiz
174,Klaksvik,FO,50.92,62.2266,-6.589,Airbnb rooms
177,Castro,BR,58.96,-24.7911,-50.0119,CHACARA BAILLY
178,Constitucion,CL,57.04,-35.3333,-72.4167,Hotel Boutique Las Azucenas
179,Arman,RU,35.02,59.7,150.1667,
181,Beringovskiy,RU,32.36,63.05,179.3167,
187,Ulladulla,AU,53.76,-35.35,150.4667,Sandpiper Motel
189,Port Lincoln,AU,58.21,-34.7333,135.8667,Port Lincoln Hotel
