City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Narsaq,GL,2022-05-20 14:39:10,60.9167,-46.05,43.02,56,36,4.34
1,Saint George,US,2022-05-20 14:36:10,37.1041,-113.5841,61.79,18,0,14.97
2,Rorvik,NO,2022-05-20 14:39:11,64.8621,11.2373,64.38,59,20,5.75
3,Batagay,RU,2022-05-20 14:39:11,67.6333,134.6333,32.67,91,23,3.94
4,Abu Zabad,SD,2022-05-20 14:39:11,12.35,29.25,103.6,10,12,8.28
5,Avarua,CK,2022-05-20 14:39:12,-21.2078,-159.775,75.25,83,75,3.44
6,Bethel,US,2022-05-20 14:39:12,41.3712,-73.414,59.85,88,100,5.75
7,Walvis Bay,NA,2022-05-20 14:39:13,-22.9575,14.5053,62.1,65,0,23.26
8,La Palma,US,2022-05-20 14:39:13,33.8464,-118.0467,62.24,89,100,6.91
9,San Andres,CO,2022-05-20 14:39:14,12.5847,-81.7006,84.22,84,75,5.75
10,Gizo,SB,2022-05-20 14:39:14,-8.103,156.8419,82.11,74,6,4.59
11,Senno,RU,2022-05-20 14:39:14,59.5336,33.9167,52.27,34,46,3.87
12,Chicama,PE,2022-05-20 14:39:15,-7.8447,-79.1469,61.34,72,65,6.55
13,Hualmay,PE,2022-05-20 14:39:15,-11.0964,-77.6139,67.91,82,66,8.57
14,Vao,NC,2022-05-20 14:39:15,-22.6667,167.4833,74.88,84,100,22.82
15,Pangnirtung,CA,2022-05-20 14:36:12,66.1451,-65.7125,34.75,77,100,0.63
16,Hermanus,ZA,2022-05-20 14:39:16,-34.4187,19.2345,57.79,65,76,7.49
17,Puerto Ayora,EC,2022-05-20 14:39:16,-0.7393,-90.3518,76.96,96,65,1.99
18,Mataura,NZ,2022-05-20 14:36:11,-46.1927,168.8643,44.38,94,100,12.28
19,Puerto Vallarta,MX,2022-05-20 14:35:48,20.6204,-105.2307,79.92,69,75,1.01
20,Punta Arenas,CL,2022-05-20 14:31:23,-53.15,-70.9167,41.11,87,100,6.91
21,Baghdad,IQ,2022-05-20 14:37:16,33.3406,44.4009,96.71,7,20,19.57
22,Airai,TL,2022-05-20 14:39:17,-8.9266,125.4092,58.14,88,16,3.71
23,Kunigal,IN,2022-05-20 14:39:17,13.0222,77.0267,71.38,89,81,9.4
24,Ushuaia,AR,2022-05-20 14:39:18,-54.8,-68.3,44.26,70,20,6.91
25,Sitka,US,2022-05-20 14:39:18,57.0531,-135.33,46.29,87,20,10.36
26,Kumba,CM,2022-05-20 14:39:19,4.6363,9.4469,80.47,83,87,2.89
27,Chake Chake,TZ,2022-05-20 14:39:19,-5.2459,39.7666,78.55,80,76,7.25
28,Roma,US,2022-05-20 14:39:17,43.2128,-75.4557,75.81,68,0,10.36
29,Price,US,2022-05-20 14:39:20,39.5994,-110.8107,47.12,30,100,10.36
30,Erzin,TR,2022-05-20 14:39:20,36.9559,36.2,75.69,32,0,9.91
31,Vanavara,RU,2022-05-20 14:39:20,60.34,102.2797,52.52,90,90,2.89
32,Yerbogachen,RU,2022-05-20 14:39:21,61.2767,108.0108,48.63,72,100,4.85
33,Kapaa,US,2022-05-20 14:39:21,22.0752,-159.319,72.12,97,75,3.44
34,Meridian,US,2022-05-20 14:35:33,43.6121,-116.3915,45.09,67,0,12.66
35,Ambulu,ID,2022-05-20 14:39:22,-8.345,113.6058,77.43,89,95,2.37
36,Rikitea,PF,2022-05-20 14:36:00,-23.1203,-134.9692,73.89,79,100,10.87
37,Albany,US,2022-05-20 14:36:00,42.6001,-73.9662,70.95,73,29,1.99
38,Carnarvon,AU,2022-05-20 14:39:23,-24.8667,113.6333,71.98,67,0,19.17
39,Atuona,PF,2022-05-20 14:39:23,-9.8,-139.0333,77.58,69,13,9.01
40,Port Alfred,ZA,2022-05-20 14:36:03,-33.5906,26.891,58.17,95,100,3.0
41,Qaanaaq,GL,2022-05-20 14:39:24,77.484,-69.3632,17.42,68,16,1.79
42,Busselton,AU,2022-05-20 14:36:10,-33.65,115.3333,57.43,84,2,6.71
43,Komsomolskiy,UZ,2022-05-20 14:39:24,40.4272,71.7189,77.72,31,100,13.8
44,Korla,CN,2022-05-20 14:39:24,41.7597,86.1469,81.99,15,100,11.52
