City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-05-19 17:40:55,-23.1203,-134.9692,76.6,78,99,13.22
1,Pevek,RU,2022-05-19 17:37:15,69.7008,170.3133,31.59,99,100,2.53
2,Port Alfred,ZA,2022-05-19 17:40:55,-33.5906,26.891,60.19,95,95,5.01
3,Thompson,CA,2022-05-19 17:40:55,55.7435,-97.8558,39.36,52,75,13.8
4,Khatanga,RU,2022-05-19 17:40:56,71.9667,102.5,21.61,93,95,7.52
5,Monrovia,LR,2022-05-19 17:37:56,6.3005,-10.7969,81.39,79,83,7.14
6,Talnakh,RU,2022-05-19 17:40:56,69.4865,88.3972,33.21,91,87,4.81
7,Ushuaia,AR,2022-05-19 17:40:57,-54.8,-68.3,55.02,76,20,2.3
8,Bengkulu,ID,2022-05-19 17:40:57,-3.8004,102.2655,76.35,88,65,3.27
9,Sao Miguel Do Araguaia,BR,2022-05-19 17:40:58,-13.275,-50.1628,78.62,19,55,8.21
10,Itarema,BR,2022-05-19 17:40:58,-2.9248,-39.9167,83.61,72,65,6.73
11,Mataura,NZ,2022-05-19 17:40:59,-46.1927,168.8643,41.49,95,86,5.84
12,Portland,US,2022-05-19 17:36:18,45.5234,-122.6762,55.11,71,100,8.05
13,Newala,TZ,2022-05-19 17:40:59,-10.9431,39.2787,64.08,97,69,3.94
14,Souillac,MU,2022-05-19 17:41:00,-20.5167,57.5167,73.78,78,40,9.22
15,Qaanaaq,GL,2022-05-19 17:41:00,77.484,-69.3632,28.44,88,100,6.89
16,Tuktoyaktuk,CA,2022-05-19 17:41:01,69.4541,-133.0374,32.0,93,100,5.75
17,Busselton,AU,2022-05-19 17:41:01,-33.65,115.3333,61.32,74,51,1.07
18,Pandan,PH,2022-05-19 17:41:02,14.0453,124.1694,79.43,87,71,6.04
19,Yellowknife,CA,2022-05-19 17:41:02,62.456,-114.3525,41.56,48,75,11.5
20,Qaqortoq,GL,2022-05-19 17:41:03,60.7167,-46.0333,39.36,65,15,7.74
21,Pomabamba,PE,2022-05-19 17:41:03,-8.8333,-77.4667,60.75,53,58,4.56
22,Brus,RS,2022-05-19 17:41:04,43.3836,21.0336,53.38,74,0,1.83
23,Isangel,VU,2022-05-19 17:41:04,-19.55,169.2667,76.78,90,100,19.69
24,Puerto Del Rosario,ES,2022-05-19 17:41:05,28.5004,-13.8627,78.55,53,20,17.27
25,Punta Arenas,CL,2022-05-19 17:41:05,-53.15,-70.9167,48.22,93,75,6.91
26,Muros,ES,2022-05-19 17:41:06,42.7762,-9.0603,72.68,68,96,10.45
27,Kumta,IN,2022-05-19 17:41:06,14.4167,74.4,75.02,87,100,3.6
28,Kampong Thum,KH,2022-05-19 17:41:06,12.7111,104.8887,76.53,93,99,1.01
29,Kawalu,ID,2022-05-19 17:41:07,-7.3817,108.2082,72.93,96,93,0.85
30,Wattegama,LK,2022-05-19 17:41:07,6.7989,81.4808,78.1,71,24,10.31
31,Sri Aman,MY,2022-05-19 17:41:08,1.2376,111.4621,78.85,94,34,0.0
32,Lebu,CL,2022-05-19 17:41:08,-37.6167,-73.65,56.41,86,100,23.04
33,Dayong,CN,2022-05-19 17:41:08,25.0209,118.2898,69.26,91,44,1.95
34,Pangnirtung,CA,2022-05-19 17:41:09,66.1451,-65.7125,32.0,80,75,10.36
35,Rongcheng,CN,2022-05-19 17:41:10,30.634,117.8517,58.01,97,100,2.53
36,Kapaa,US,2022-05-19 17:41:10,22.0752,-159.319,77.11,93,75,10.36
37,Bredasdorp,ZA,2022-05-19 17:41:11,-34.5322,20.0403,56.57,54,94,5.79
38,Sikandarabad,IN,2022-05-19 17:41:11,28.45,77.7,96.33,12,0,2.48
39,Saint-Philippe,RE,2022-05-19 17:41:11,-21.3585,55.7679,72.99,76,39,11.27
40,Hermanus,ZA,2022-05-19 17:41:12,-34.4187,19.2345,58.39,55,96,9.84
41,Deshnok,IN,2022-05-19 17:41:12,27.7986,73.3447,96.4,13,1,18.14
42,Jamestown,US,2022-05-19 17:37:55,42.097,-79.2353,61.05,89,100,12.66
43,Albany,US,2022-05-19 17:41:04,42.6001,-73.9662,58.57,91,100,1.99
44,North Bend,US,2022-05-19 17:41:13,43.4065,-124.2243,56.91,78,100,12.66
45,Vaini,TO,2022-05-19 17:41:13,-21.2,-175.2,71.76,88,20,6.91
46,Castro,BR,2022-05-19 17:41:14,-24.7911,-50.0119,56.98,52,2,6.69
47,Port Hedland,AU,2022-05-19 17:41:14,-20.3167,118.5667,71.65,100,0,2.3
48,Galveston,US,2022-05-19 17:38:57,29.3669,-94.9669,92.05,67,40,14.97
49,Kearney,US,2022-05-19 17:42:15,40.6995,-99.0815,87.57,36,0,19.57
50,Airai,TL,2022-05-19 17:42:15,-8.9266,125.4092,58.32,91,26,3.87
51,Nanyamba,TZ,2022-05-19 17:42:15,-10.6833,39.8333,68.54,98,37,3.65
52,Dir,PK,2022-05-19 17:42:16,35.2058,71.8756,66.51,60,89,4.9
53,Nadadores,MX,2022-05-19 17:42:16,27.05,-101.6,92.25,20,9,2.73
54,Butaritari,KI,2022-05-19 17:42:17,3.0707,172.7902,81.5,68,51,13.78
55,San Quintin,MX,2022-05-19 17:42:17,30.4833,-115.95,64.72,64,47,9.55
56,Sabha,LY,2022-05-19 17:42:17,27.0377,14.4283,86.34,15,0,11.03
57,Saint-Joseph,RE,2022-05-19 17:42:18,-21.3667,55.6167,71.98,75,22,11.9
58,Nanortalik,GL,2022-05-19 17:42:18,60.1432,-45.2371,38.82,64,7,10.31
